"","event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","FID","geometry"
"20217","KEN7696","2021-05-19",2021,2,"Political violence","Violence against civilians","Attack","AULIYAN ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Kinna","Kinna",2,"Daily Nation (Kenya)","National","AROUND 19 MAY 2021 (WEEK OF), SUSPECTED AULIYAN ETHNIC MILITIA ABDUCTED AND KILLED A BOY GRAZING GOATS ON THE ISIOLO-GARISSA BORDER IN THE DUSE AREA NEAR KINNA TOWN (GARBATULLA, ISIOLO). THE RAIDERS TOOK OFF WITH MORE THAN 200 GOATS.",1,"",1622493899,776,c(38.2, 0.3167)
"20556","KEN10851","2021-05-01",2021,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Kinna","Kinna",2,"Opera News (Kenya)","National","AROUND 1 MAY 2021 (AS REPORTED), THE CHAIRMAN OF GARRE COMMUNITY WAS SHOT DEAD BY AN UNIDENTIFIED MILITIA WHILE LOOKING FOR A PASTURE FOR HIS LIVESTOCK IN QARSA, CODED TO KINNA (GARBATULLA, ISIOLO).",1,"",1680570809,792,c(38.2, 0.3167)
"20978","KEN7668","2021-04-10",2021,1,"Political violence","Battles","Armed clash","BORANA ETHNIC MILITIA (KENYA)","",4,"AULIYAN ETHNIC MILITIA (KENYA)","",4,44,"",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",2,"Daily Nation (Kenya)","National","ON 10 APRIL 2021, A BORANA ETHNIC MILITIA CLASHED WITH AN AULIYAN ETHNIC MILITIA KAMBI SAMAKI IN A AREA NEAR ISIOLO-GARISSA BORDER NEAR GARBA TULA TOWN (GARBATULLA, ISIOLO). AT LEAST FIVE PEOPLE WERE KILLED AND SEVERAL PEOPLE WERE ALSO INJURED AND TENS OF LIVESTOCK STOLEN.",5,"",1618857530,797,c(38.52, 0.5333)
"21323","KEN9799","2021-03-24",2021,2,"Political violence","Violence against civilians","Attack","MURLE ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Mandera","Lafey","Lafey","Lafey",2,"Daily Nation (Kenya)","National","AROUND 24 MARCH 2021 (WEEK OF), SUSPECTED MURULLE MILITIA SHOT AND KILLED A HERDER AT ALUNG'O WITHIN MANDERA SOUTH [CODED AS LAFEY, LAFEY, MANDERA], AS HE SEARCHED FOR HIS LOST LIVESTOCK.",1,"",1673291087,805,c(41.1862, 3.1508)
"21552","SOM33441","2021-03-15",2021,1,"Political violence","Violence against civilians","Attack","AMISOM: AFRICAN UNION MISSION IN SOMALIA (2007-2022) (KENYA)","",8,"CIVILIANS (SOMALIA)","PASTORALISTS (SOMALIA)",7,78,"Civilian targeting",706,"Eastern Africa","Somalia","Lower Juba","Badhaadhe","","Hosingow",1,"Radio Dalsan","National","ON 15 MARCH 2021, TWO PEOPLE WERE KILLED AND FIVE OTHERS INJURED WHEN AMISOM KDF TROOPS OPEN FIRE ON PASTORALISTS AT A LIVESTOCK MARKET IN HOSINGOW VILLAGE (BADHAADHE, LOWER JUBA).",2,"",1670283469,810,c(41.2695, -0.1734)
"22682","KEN7638","2021-01-27",2021,1,"Political violence","Battles","Armed clash","GARBA ETHNIC MILITIA (KENYA)","",4,"BORANA ETHNIC MILITIA (KENYA)","",4,44,"",404,"Eastern Africa","Kenya","Marsabit","Moyale","Uran","Funan Qumbi",1,"Daily Nation (Kenya)","National","ON 27 JANUARY 2021, A GARBA ETHNIC MILITIA CLASHED WITH A BORANA ETHNIC MILITIA DURING AN ATTEMPT TO RECOVER MORE THAN 100 HEAD OF CATTLE STOLEN IN FUNAN QUMBI VILLAGE (SAKU, MARSABIT). ONE PERSON WAS KILLED.",1,"",1618491474,832,c(38.3548, 3.3684)
"23031","KEN7630","2021-01-15",2021,1,"Political violence","Violence against civilians","Attack","BORANA ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Marsabit","Saku","Marsabit Central","Saku",1,"Star (Kenya)","National","ON 15 JANUARY 2021, A BORANA MILITIA KILLED ONE PERSON, INJURED ANOTHER AND STOLE OVER 300 HEADS OF CATTLE AT HARO HALAKHE YAYO WATERING POINT IN SAKU TOWN (SAKU, MARSABIT).",1,"",1611605538,844,c(37.9833, 2.3333)
"23103","KEN7629","2021-01-13",2021,1,"Political violence","Battles","Armed clash","DASSANACH ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"GABRA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Marsabit","North Horr","North Horr","North Horr",2,"Daily Nation (Kenya)","National","ON 13 JANUARY 2021, ARMED GUNMEN FROM A DASENAACH ETHNIC MILITIA CLASHED WITH A GABRA ETHNIC MILITIA OVER A GRAZING ZONE AND WATERING POINT IN SIBILOI NATIONAL PARK IN MADHO DIMTU VILLAGE NEAR NORTH HORR TOWN (NORTH HORR, MARSABIT). ONE PERSON WAS KILLED AND TWO OTHERS INJURED.",1,"",1618268924,849,c(37.0667, 3.3167)
"23250","KEN7623","2021-01-09",2021,1,"Political violence","Battles","Armed clash","AJURAN ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"BORANA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Eldera",1,"The Star (Kenya)","National","ON 9 JANUARY 2021, AN AJURAN ETHNIC MILITIA CLASHED WITH A BORANA ETHNIC MILITIA IN THE VICINITY OF ELDERA VILLAGE (GARBATULLA, ISIOLO SOUTH). AT LEAST SIX PEOPLE WERE KILLED. THE MOTIVE OF THE CLASH IS BELIEVED TO BE OVER A LAND DISPUTE AND WATER.",6,"",1650311550,855,c(38.6422, 0.7162)
"24202","KEN7593","2020-12-01",2020,1,"Political violence","Battles","Armed clash","AULIYAN ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"BORANA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",2,"Daily Nation (Kenya)","National","ON 1 DECEMBER 2020, AN AULIYAN MILITIA CLASHED WITH A BORANA MILITIA IN QURI GRAZING AREA NEAR GARBA TULA TOWN (ISIOLO SOUTH, ISIOLO). SEVEN PEOPLE WERE KILLED. THE MOTIVE FOR ATTACK WAS A DISPUTE OVER GRAZING LAND AND CLAN RETALIATION.",7,"",1618494281,883,c(38.52, 0.5333)
"24316","KEN7590","2020-11-29",2020,1,"Political violence","Violence against civilians","Attack","BORANA ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","AULIYAN CLAN GROUP (KENYA); PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",2,"Daily Nation (Kenya)","National","ON 29 NOVEMBER 2020, A BORANA MILITIA SHOT AND KILLED A PASTORALIST FROM THE AULIYAN CLAN IN QURI GRAZING AREA NEAR GARBA TULA TOWN (ISIOLO SOUTH, ISIOLO). THE MOTIVE OF THE KILLING WAS A LAND DISPUTE BETWEEN THE CLANS.",1,"",1618494353,886,c(38.52, 0.5333)
"24480","KEN7582","2020-11-22",2020,1,"Political violence","Violence against civilians","Attack","SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","TAXI DRIVERS (KENYA); TURKANA ETHNIC GROUP (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu North","Nyiro","South Horr",2,"Daily Nation (Kenya)","National","ON 22 NOVEMBER 2020, SAMBURU MILITIA SHOT AND KILLED A BODABODA RIDER IN NKORICHE AREA NEAR SOUTH HORR TOWN (SAMBURU NORTH, SAMBURU). THE MOTIVE OF THE ATTACK IS BELIEVED TO BE CLAN REVENGE.",1,"",1650311549,896,c(36.9191, 2.096)
"24486","KEN7581","2020-11-22",2020,1,"Political violence","Violence against civilians","Attack","TURKANA ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","SAMBURU ETHNIC GROUP (KENYA); PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu North","Nachola","Natiti",1,"Daily Nation (Kenya)","National","ON 22 NOVEMBER 2020, TURKANA MILITIA SHOT AND KILLED A YOUNG SAMBURU BOY WHEN THEY STORMED NATITI VILLAGE (SAMBURU NORTH, SAMBURU). THEY ALSO STOLE AN UNKNOWN NUMBER OF LIVESTOCK.",1,"",1653951644,897,c(36.7704, 1.7976)
"24507","KEN7601","2020-11-20",2020,2,"Political violence","Battles","Armed clash","GARRE ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"MURLE ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Mandera","Lafey","Lafey","Lafey",2,"Star (Kenya)","National","AROUND 20 NOVEMBER 2020, CLAN MILITIAS FROM GARRE AND MURLE CLANS CLASHED IN YADO VILLAGE NEAR LAFEY TOWN (LAFEY, MANDERA). AT LEAST SEVEN PEOPLE WERE KILLED. THE CLASH WAS RELATED TO A PASTURE LAND AND WATER DISPUTE.",7,"",1607976278,898,c(41.1862, 3.1508)
"24750","KEN10781","2020-11-15",2020,3,"Political violence","Battles","Armed clash","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2013-2022)","",1,14,"",404,"Eastern Africa","Kenya","Meru","Igembe North","Amwathi","Mutuati",2,"Kenyans.co","National","AROUND 15 NOVEMBER 2020 (MONTH OF), POLICE OFFICERS EXCHANGED FIRE WITH A GROUP OF CATTLE RUSTLERS IN IGEMBE NORTH (CODED AS MUTUATI, AMWATHI, IGEMBE NORTH, MERU) RESULTING IN 12 POLICE OFFICERS GETTING INJURED. THE CATTLE RUSTLERS MADE AWAY WITH AROUND 300 ANIMALS.",0,"",1679360211,900,c(37.9855, 0.3826)
"24992","SOM32369","2020-11-05",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"CIVILIANS (SOMALIA)","PASTORALISTS (SOMALIA)",7,78,"Civilian targeting",706,"Eastern Africa","Somalia","Gedo","Ceel Waaq","","El Wak",2,"Radio Kulmiye","National","ON 5 NOVEMBER 2020, KENYA DEFENSE FORCES CONDUCTED AN AIRSTRIKE TARGETING AL SHABAAB MILITANTS BUT MISSED ITS TARGET AND HIT CIVILIANS PASTORALISTS IN THE VICINITY OF EL WAK TOWN (CEEL WAAQ, GEDO). SEVERAL PEOPLE WERE INJURED AND SEVERAL ANIMALS WERE KILLED.",0,"",1679360219,908,c(41.0177, 2.7352)
"25216","KEN7562","2020-10-26",2020,1,"Political violence","Battles","Armed clash","SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Baragoi",2,"Daily Nation (Kenya)","National","ON 26 OCTOBER 2020, TWO GROUPS OF SAMBURU WARRIORS CLASHED IN SIMALE VILLAGE NEAR BARAGOI TOWN (SAMBURU NORTH, SAMBURU). ONE PERSON WAS KILLED AND SEVERAL OTHERS INJURED.",1,"",1650311549,911,c(36.7833, 1.7833)
"25529","SOM32172","2020-10-08",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"CIVILIANS (SOMALIA)","PASTORALISTS (SOMALIA)",7,78,"Civilian targeting",706,"Eastern Africa","Somalia","Gedo","Belet Xaawo","","Belet Xaawo",2,"Shabelle Media Network","National","ON 8 OCTOBER 2020, KENYA DEFENSE FORCES CONDUCTED AN AIRSTRIKE AGAINST CIVILIANS PASTORALISTS IN BALIGA HARAKOOBE,YAAQLE, QABRI-XAAJI AND BALIGA DHADHAABLE NEAR BELET XAAWO TOWN (BELET XAAWO, GEDO). ONE PERSON WAS KILLED AND FOUR OTHERS WERE INJURED.",1,"",1679360219,921,c(41.8943, 3.7807)
"25649","SOM32130","2020-10-01",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"","",0,80,"",706,"Eastern Africa","Somalia","Gedo","Baardheere","","Cows Qurun",1,"Caasimada","National","ON 1 OCTOBER 2020, KENYA DEFENSE FORCES CONDUCTED AN AIRSTRIKE AGAINST CIVILIAN PASTORALISTS IN COWS QURUN VILLAGE (BAARDHEERE, GEDO). NO FATALITIES AND/OR INJURIES REPORTED.",0,"",1679360219,927,c(41.1507, 2.2102)
"25650","SOM32131","2020-10-01",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"","",0,80,"",706,"Eastern Africa","Somalia","Gedo","Belet Xaawo","","Dhamase",1,"Caasimada","National","ON 1 OCTOBER 2020, KENYA DEFENSE FORCES CONDUCTED AN AIRSTRIKE AGAINST CIVILIAN PASTORALISTS IN DHAMASE VILLAGE (BELET XAAWO, GEDO). NO FATALITIES AND/OR INJURIES REPORTED.",0,"",1679360219,928,c(41.33, 3.15)
"25651","SOM32133","2020-10-01",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"","",0,80,"",706,"Eastern Africa","Somalia","Gedo","Ceel Waaq","","Garsaale",1,"Caasimada","National","ON 1 OCTOBER 2020, KENYA DEFENSE FORCES CONDUCTED AN AIRSTRIKE AGAINST CIVILIAN PASTORALISTS IN GARSAALE VILLAGE (CEEL WAAQ, GEDO). ANIMALS KILLED IN ATTACK.",0,"",1679360219,929,c(41.2742, 2.8194)
"25652","SOM32134","2020-10-01",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"","",0,80,"",706,"Eastern Africa","Somalia","Gedo","Belet Xaawo","","Likolay",1,"Caasimada","National","ON 1 OCTOBER 2020, KENYA DEFENSE FORCES CONDUCTED AN AIRSTRIKE AGAINST CIVILIAN PASTORALISTS IN LIKOLAY VILLAGE (BELET XAAWO, GEDO). SEVERAL ANIMALS WERE KILLED.",0,"",1679360219,930,c(41.5546, 3.072)
"25797","SOM32072","2020-09-24",2020,1,"Political violence","Violence against civilians","Attack","MILITARY FORCES OF KENYA (2013-2022)","",8,"CIVILIANS (SOMALIA)","PASTORALISTS (SOMALIA)",7,78,"Civilian targeting",706,"Eastern Africa","Somalia","Gedo","Ceel Waaq","","El Wak",2,"Caasimada","National","ON 24 SEPTEMBER 2020, KENYA DEFENSE FORCES LAUNCHED AN ATTACK AGAINST PASTORALISTS IN YEEDOW VILLAGE NEAR EL WAK TOWN (CEEL WAAQ, GEDO). THREE CIVILIANS WERE KILLED.",3,"",1679360219,937,c(41.0177, 2.7352)
"25894","KEN7534","2020-09-17",2020,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ARMED GROUP (KENYA)","",3,"CIVILIANS (KENYA)","",7,37,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Baragoi",2,"Daily Nation (Kenya)","National","ON 17 SEPTEMBER 2020, UNKNOWN GUNMEN ATTACKED BOYS HERDING CATTLE AT KILEPOI VILLAGE NEAR BARAGOI TOWN (SAMBURU NORTH, SAMBURU). ONE BOY WAS KILLED.",1,"",1618498181,940,c(36.7833, 1.7833)
"26459","SOM31849","2020-08-22",2020,1,"Political violence","Violence against civilians","Abduction/forced disappearance","AL SHABAAB","",2,"CIVILIANS (SOMALIA)","PASTORALISTS (SOMALIA)",7,27,"Civilian targeting",706,"Eastern Africa","Somalia","Lower Juba","Afmadow","","Dhobley",2,"Undisclosed Source","Local partner-Other","ON 22 AUGUST 2020, AL SHABAAB MILITANTS ATTACKED AND ABDUCTED 8 LOCAL PASTORALISTS AND THEIR LIVESTOCK IN DAGCADE VILLAGE NEAR DHOBLEY TOWN (AFMADOW, LOWER JUBA).",0,"",1599525371,958,c(41.0124, 0.4063)
"26478","SOM31845","2020-08-21",2020,1,"Political violence","Battles","Armed clash","AL SHABAAB","",2,"MILITARY FORCES OF SOMALIA (2017-2022) JUBALAND SECURITY FORCE","",1,12,"",706,"Eastern Africa","Somalia","Lower Juba","Afmadow","","Dhobley",2,"Undisclosed Source","Local partner-Other","ON 21 AUGUST 2020, JUBALAND SECURITY FORCES CONDUCTED A HIT AND RUN ATTACK TARGETING AL SHABAAB TAX-COLLECTORS WHO WERE GATHERING LIVESTOCK AT DAGCADE VILLAGE NEAR DHOBLEY TOWN (AFMADOW, LOWER JUBA). NO INJURIES AND/OR FATALITIES REPORTED.",0,"",1653348313,959,c(41.0124, 0.4063)
"26615","KEN10727","2020-08-15",2020,1,"Political violence","Violence against civilians","Attack","AL SHABAAB","",2,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,27,"Civilian targeting",404,"Eastern Africa","Kenya","Garissa","Fafi","Jarajila","Hagadera",1,"Opera News (Kenya)","National","ON 15 AUGUST 2020, SUSPECTED AL SHABAAB MILITANTS SHOT DEAD A MAN ALONG WITH HIS TWO CAMELS IN HAGADERA (FAFI, GARISSA) FOR ALLEGEDLY REFUSING TO GIVE THEM MILK.",1,"",1676323320,964,c(40.3756, 0.0095)
"26903","KEN7476","2020-07-31",2020,1,"Strategic developments","Strategic developments","Looting/property destruction","POLICE FORCES OF KENYA (2013-2022)","",1,"CIVILIANS (KENYA)","",7,17,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Baawa","Kiamumbi",2,"People Daily","National","PROPERTY DESTRUCTION: ON 31 JULY 2020, SEVERAL HOUSES WERE SET ALIGHT AND 107 COWS IMPOUNDED BY POLICE DURING A POLICE RAID IN DOLDOL VILLAGE IN SAMBURU EAST (LOCATION CODED TO KIAMUMBI, SAMBURU CENTRAL, SAMBURU). MORE THAN 400 RESIDENTS FLED THE VILLAGE. ACCORDING TO SOME REPORTS, SOME CHILDREN ARE MISSING. NO FATALITIES AND/OR CASUALTIES.",0,"",1679360216,971,c(36.8842, 1.1778)
"27092","KEN7462","2020-07-19",2020,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu North","Nachola","Marti",1,"Citizen (Kenya)","National","AROUND 19 JULY 2020 (AS REPORTED), AN ARMED GROUP OF ANOTHER COMMUNITY ATTACKED AND KILLED A YOUNG HERDER BOY IN MARTI (SAMBURU NORTH, SAMBURU) AND STOLE A HUNDRED GOATS AND SEVENTY CATTLE.",1,"",1618499970,979,c(36.7236, 1.4771)
"27122","KEN9980","2020-07-18",2020,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","STUDENTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu North","Nachola","Marti",2,"K24","National","ON 18 JULY 2020, A MILITIA (DESCRIBED AS ARMED CATTLE RUSTLERS) SHOT DEAD A STANDARD TWO STUDENT AND INJURED TWO OTHER CHILDREN NEAR MARTI TOWN (SAMBURU NORTH, SAMBURU). THE MILITIA MADE WAY WITH OVER 250 GOATS.",1,"",1675698502,980,c(36.7236, 1.4771)
"27825","KEN10314","2020-06-13",2020,1,"Political violence","Violence against civilians","Attack","AL SHABAAB","",2,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,27,"Civilian targeting",404,"Eastern Africa","Kenya","Marsabit","Saku","Marsabit Central","Marsabit",2,"Ebru Television","National","ON 13 JUNE 2020, SUSPECTED AL SHABAAB MILITANTS KILLED FOUR HERDERS IN KOKUTO, SAGANTE-JALDESA WARD NEAR MARSABIT (MARSABIT CENTRAL, SAKU, MARSABIT) WHILE THEY WERE TAKING THEIR LIVESTOCK TO A WATERPOINT.",4,"",1676323319,1003,c(37.983, 2.333)
"27893","KEN7417","2020-06-10",2020,1,"Political violence","Battles","Armed clash","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"UNIDENTIFIED COMMUNAL MILITIA (KENYA)","PASTORALISTS (KENYA)",4,44,"",404,"Eastern Africa","Kenya","Marsabit","Moyale","Sololo","Sololo",2,"Daily Nation (Kenya)","National","ON 10 JUNE 2020, ARMED HERDERS CLASHED OVER A WATERING POINT IN GOF-CHOBA NEAR SOLOLO (MOYALE, MARSABIT). THREE FATALITIES REPORTED.",3,"",1650311549,1006,c(38.65, 3.55)
"28246","SOM31213","2020-05-24",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"CIVILIANS (SOMALIA)","PASTORALISTS (SOMALIA)",7,78,"Civilian targeting",706,"Eastern Africa","Somalia","Gedo","Ceel Waaq","","El Wak",2,"Radio Kulmiye","National","ON 24 MAY 2020, KENYA AIRFORCE CONDUCTED AIRSTRIKES TARGETING AL SHABAAB MILITANTS BUT THE STRIKES HIT CIVILIAN PASTORALISTS IN A VILLAGE NEAR EL WAK TOWN (CEEL WAAQ, GEDO). THE STRIKES INJURED THREE CIVILIANS.",0,"",1679360219,1017,c(41.0177, 2.7352)
"28333","SOM31181","2020-05-19",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"CIVILIANS (SOMALIA)","PASTORALISTS (SOMALIA)",7,78,"Civilian targeting",706,"Eastern Africa","Somalia","Gedo","Ceel Waaq","","Buusaar",1,"Caasimada","National","ON 19 MAY 2020, KENYAN AIRCRAFTS FIRED SEVERAL ROCKETS THAT KILLED ONE CIVILIAN PASTORALIST IN BUUSAAR VILLAGE (CEEL WAAQ, GEDO).",1,"",1679360219,1018,c(41.3225, 2.6722)
"28334","SOM31182","2020-05-19",2020,1,"Political violence","Explosions/Remote violence","Air/drone strike","MILITARY FORCES OF KENYA (2013-2022)","",8,"CIVILIANS (SOMALIA)","",7,78,"Civilian targeting",706,"Eastern Africa","Somalia","Gedo","Baardheere","","Cows Qurun",1,"Caasimada","National","ON 19 MAY 2020, KENYA AIRCRAFTS FIRED SEVERAL ROCKETS THAT KILLED THREE CIVILIANS IN COWS-QURUN VILLAGE (BAARDHEERE, GEDO).",3,"",1679360219,1019,c(41.1507, 2.2102)
"31802","KEN10437","2019-11-23",2019,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Suguta Marmar","Suguta Marmar",1,"Kenyans.co","National","ON 23 NOVEMBER 2019, UNIDENTIFIED MILITIA ATTACKED SUGUTA MARMAR (SAMBURU CENTRAL, SAMBURU), AND MADE AWAY WITH 18 GOATS. NO ONE WAS INJURED DURING THE INCIDENT.",0,"",1676323319,1122,c(36.4591, 0.902)
"32086","KEN7038","2019-11-08",2019,2,"Political violence","Battles","Armed clash","UNIDENTIFIED COMMUNAL MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2013-2022)","",1,14,"",404,"Eastern Africa","Kenya","Meru","Igembe North","Antuambui","Ndumuru",2,"Star (Kenya)","National","ON OR BEFORE NOVEMBER 8, 2019, POLICE CLASHED WITH CATTLE RAIDERS AT AN UNSPECIFIED LOCATION ON THE MERU SIDE OF THE MERU-ISIOLO BORDER (COORDINATES FOR NDUMURU, MERU COUNTY, USED AT PREC2). REPORTS SUGGEST THAT GUNFIRE WAS INVOLVED, THOUGH POLICE HAVE DENIED THIS.",0,"",1679360215,1125,c(37.841, 0.4617)
"32619","KEN10178","2019-10-09",2019,1,"Political violence","Violence against civilians","Attack","POKOT ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Baragoi",1,"Citizen (Kenya)","National","ON 9 OCTOBER 2019, SUSPECTED POKOT MILITIA ATTACKED LOMELOK AREA IN BARAGOI (SAMBURU NORTH, SAMBURU). TWO PEOPLE WERE KILLED AND SEVERAL OTHERS SUSTAINED GUN SHOT WOUNDS.",2,"",1676323318,1140,c(36.7833, 1.7833)
"32902","KEN7047","2019-09-23",2019,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ARMED GROUP (KENYA)","",3,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,37,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu North","El Barta","Baragoi",1,"Crisis Watch","Other","ON 23 SEPTEMBER 2019, UNIDENTIFIED ATTACKERS KILLED FOUR PASTORALISTS AND STOLE LIVESTOCK AT BARAGOI (SAMBURU COUNTY).",4,"",1652899807,1148,c(36.7833, 1.7833)
"33006","KEN7000","2019-09-17",2019,1,"Political violence","Battles","Armed clash","BORANA ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"UNIDENTIFIED CLAN MILITIA (SOMALIA)","PASTORALISTS (SOMALIA)",4,44,"",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",1,"Star (Kenya)","National","ON SEPT 17TH 2019, IN GARBA TULA, BORANA AND SOMALIS CLASHED. ARMED BORANA ALLEGEDLY DESCENDED ON THEIR SOMALI COUNTERPARTS, KILLING THE THREE HERDERS. IN A RETALIATORY ATTACK, A BORANA ELDER WAS KILLED AND FIVE OTHERS WERE INJURED.",4,"",1618561050,1153,c(38.52, 0.5333)
"33007","KEN7102","2019-09-17",2019,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ARMED GROUP (KENYA)","",3,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,37,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Isiolo","Bula Pesa","Isiolo",1,"Star (Kenya)","National","ON SEPT 17TH 2019, IN ISIOLO SOUTH, FOUR UNARMED HERDSMEN WERE KILLED BY AN UNKNOWN ARMED MILITIA. THE KILLING MIGHT BE DUE TO BOUNDARY DISPUTES OR TO RESOURCES.",4,"",1618561060,1154,c(37.5822, 0.3546)
"33037","KEN7018","2019-09-15",2019,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ARMED GROUP (KENYA)","",3,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,37,"Civilian targeting",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Garbatulla","Garba Tula",1,"Kenya Standard","National","ON 15 SEPTEMBER 2019, DURING AN ISIOLO-GARISSA BORDER ATTACK, THREE HERDSMEN WERE KILLED AND 100 CAMELS STOLEN BY UNIDENTIFIED INDIVIDUALS IN GARBA TULA.",3,"",1636381453,1155,c(38.52, 0.5333)
